species,τ_seconds,τ_minutes,τ_hours,τ_days,τ_weeks,τ_years
SA,Inf,Inf,Inf,Inf,Inf,Inf
CH4,6.077883510742328e14,1.0129805851237213e13,1.688300975206202e11,7.034587396692509e9,1.0049410566703584e9,1.92728421827192e7
H2,5.832032604454862e14,9.720054340758104e12,1.6200090567930173e11,6.750037736637572e9,9.642911052339389e8,1.849325407297965e7
CH3NO3,1.6372986352286925e14,2.7288310587144873e12,4.5480517645241455e10,1.8950215685517273e9,2.7071736693596107e8,5.191839913840349e6
CO,1.6780980950646633e13,2.7968301584411053e11,4.661383597401842e9,1.9422431655841008e8,2.7746330936915725e7,532121.4152285208
CH3OH,4.264145724901006e12,7.106909541501677e10,1.184484923583613e9,4.935353848265054e7,7.050505497521506e6,135215.17392506998
H2O2,2.2470430877622676e12,3.7450718129371124e10,6.241786354895188e8,2.6007443145396616e7,3.715349020770945e6,71253.26889149757
SO2,1.581497296263946e12,2.635828827106577e10,4.3930480451776284e8,1.8304366854906786e7,2.6149095507009695e6,50148.95028741585
HCHO,3.2251912809746814e11,5.375318801624469e9,8.958864669374114e7,3.732860278905881e6,533265.7541294115,10227.014462755838
CH3OOH,8.741418788265501e7,1.4569031313775836e6,24281.71885629306,1011.7382856788776,144.53404081126823,2.7718857141887057
HONO,2.4259895689879144e6,40433.15948313191,673.8859913855318,28.07858297439716,4.011226139199595,0.07692762458738948
NO2,275052.52427638695,4584.208737939783,76.40347896566304,3.18347829023596,0.4547826128908515,0.00872185832941359
HNO3,166525.1137526995,2775.4185625449913,46.256976042416525,1.9273740017673553,0.2753391431096222,0.005280476717170837
NO,32255.752467927745,537.5958744654624,8.95993124109104,0.3733304683787933,0.05333292405411333,0.00102282320103779
O3,2510.9234717737736,41.848724529562894,0.6974787421593815,0.0290616142566409,0.004151659179520128,7.962086097709836e-5
N2O5,32.36067755654036,0.5393446259423393,0.008989077099038989,0.0003745448791266245,5.35064113038035e-5,1.026150353771574e-6
HO2NO2,23.688235776782502,0.3948039296130417,0.0065800654935506955,0.0002741693955646123,3.916705650923033e-5,7.511490289441433e-7
HO2,3.347755255896802,0.05579592093161336,0.0009299320155268894,3.874716731362039e-5,5.535309616231484e-6,1.0615662277704216e-7
CH3O2,1.3888406855801736,0.02314734475966956,0.000385789079327826,1.607454497199275e-5,2.296363567427536e-6,4.40398492383363e-8
NO3,1.2762611664297985,0.02127101944049664,0.000354516990674944,1.4771541278122668e-5,2.1102201825889525e-6,4.0469976104445664e-8
CH3O2NO2,0.9545413538734051,0.01590902256455675,0.00026515037607594585,1.1047932336497744e-5,1.5782760480711062e-6,3.0268307771226693e-8
OH,0.2617608554386372,0.004362680923977287,7.271134873295479e-5,3.029639530539783e-6,4.32805647219969e-7,8.300382275451461e-9
O,1.381676028094703e-5,2.3027933801578385e-7,3.837988966929731e-9,1.5991620695540547e-10,2.284517242220078e-11,4.3812659439837114e-13
